Track,Artist,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Shazam Counts,Explicit Track
Si No Estï¿½,iï¿½ï¿½igo quin,"665,716,137","97,057","33,252,792","2,900,087","216,927,444","2,653,383,273","862,779,648","5,502,998",0
Glimpse of Us,Joji,"1,262,308,912","234,936","83,890,841","865,354","1,031,153,514","8,988,453,878","4,898,615,770","4,350,230",0
Watermelon Sugar,Harry Styles,"2,708,151,499","298,135","159,003,869","1,375,118","301,076,974","2,738,127,473","2,170,262,684","9,612,968",0
WHERE SHE GOES,Bad Bunny,"717,849,037","98,440","37,797,217","308,670","85,402,638","808,518,802","47,337,825","2,076,698",1
Yandel 150,Yandel,"837,576,264","102,545","38,825,844","632,917","43,022,167","631,781,362","443,395,467","2,660,197",1
THATS WHAT I WANT,Lil Nas X,"1,062,095,453","165,197","75,503,476","1,174,669","331,324,816","3,501,946,982","3,618,055,498","5,957,065",1
Todo De Ti,Rauw Alejandro,"1,339,352,060","188,874","76,063,128","3,247,015","488,004,183","4,445,597,088","1,866,730,745","5,640,680",1
Chemical,Post Malone,"503,574,147","79,679","43,648,353","20,078","8,878,995","134,469,226","476,594,485","2,334,089",1
See You Again (feat. Charlie Puth),Wiz Khalifa,"1,891,920,348","159,571","73,641,738","2,196,129","424,216,963","3,455,170,110","602,157,439","22,021,769",0
Drip Too Hard (Lil Baby & Gunna),Lil Baby,"1,486,929,795","266,128","52,476,635","618,523","58,332,458","523,849,646","34,010,447","4,911,610",1
Uptown Funk,Mark Ronson,"1,993,030,264","256,764","149,909,699","274,381","98,429,039","1,268,235,679","1,997,821,697","23,508,115",1
love nwantiti (ah ah ah),CKay,"853,451,422","172,458","43,607,688","12,330,900","1,768,913,633","23,933,379,729","35,766,668","3,489,217",1
Mi Gente,J Balvin,"1,478,442,472","189,504","45,240,294","163,477","67,021,310","1,018,060,369","398,243,753","19,858,741",0
Late Night Talking,Harry Styles,"959,639,297","108,806","62,563,751","101,923","64,491,271","580,526,441","3,350,044,035","4,053,289",0
Miss You,Oliver Tree,"631,378,937","165,883","38,563,849","1,905,732","363,515,584","5,776,425,361","13,558,530","7,602,822",1
girls like me don't cry,thï¿½ï,"69,931,412","13,220","8,876,286","9,009,769","496,871,104","6,778,569,349","147,879","195,627",0
Dakiti,Bad Bunny,"1,977,947,460","245,685","56,430,031","21,703","1,119,576","21,573,356","724,908,300","6,091,496",1
Starboy,The Weeknd,"3,291,262,413","366,133","98,022,646","262,780","52,707,882","375,498,232","218,584,786","15,648,166",1
Sorry,Justin Bieber,"2,089,476,497","179,545","89,286,647","2,463,600","48,687,438","376,376,728","1,959,373,484","9,657,077",0
Calling My Phone,Lil Tjay,"777,064,903","213,153","29,437,172","1,378,861","181,697,356","1,411,545,704","326,289,844","4,012,749",1
Pink Venom,BLACKPINK,"736,469,450","48,251","22,817,940","1,833,169","587,311,863","5,828,265,172","3,169,887,749","1,547,563",0
I Can Do It With a Broken Heart,Taylor Swift,"250,430,303","7,079","134,357,870","148,000","52,156,902","411,722,900","45,283,900","188,022",1
death bed (coffee for your head),Powfu,"1,656,385,770","283,938","62,191,957","7,578,918","610,598,789","5,007,036,875","348,834,936","10,905,647",0
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,"682,837,690","155,771","28,629,209","41,044","23,532,424","185,584,934","201,674,659","3,246,804",1
MELTDOWN (feat. Drake),Travis Scott,"347,647,880","106,908","29,964,622","19,100","6,796,886","53,065,653","174,680,696","861,189",1
Moscow Mule,Bad Bunny,"1,108,031,580","121,256","44,739,826","222,100","106,783,326","940,630,746","719,730,500","1,644,044",1
Something Just Like This,The Chainsmokers,"2,596,644,721","278,237","128,709,855","350,848","80,813,727","631,258,708","277,516,825","16,040,973",0
7 rings,Ariana Grande,"2,262,490,403","179,865","89,518,199","3,040,090","282,688,098","2,620,954,252","2,185,559,044","7,983,512",1
Moonlight,Kali Uchis,"701,558,859","110,539","46,729,655","594,413","173,483,893","1,114,531,877","31,989,285","3,204,314",0
God's Plan,Drake,"2,529,948,475","313,741","79,266,167","640,874","70,576,617","634,177,218","254,153,311","9,512,236",1
La Vï¿½ï¿½c,Xavi,"521,116,293","24,734","22,828,160","33,444","11,882,123","107,781,205","1,392,579,416","988,007",1
MY EYES,Travis Scott,"403,132,906","103,255","13,549,357","8,436","16,565,594","139,973,656","2,150","1,911,147",1
Despacito - Remix,Luis Fonsi,"1,713,294,983","134,700","39,604,784","1,323,640","61,011,622","607,999,568","380,296,279","7,805,645",0
